,d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other,Target
33,0.066760727,0.375562813,0.01001261,0.044904915,0.095029863,0.124947781,0.027070021,0.013609955,0.01678761,0.008333849,0.21697985600000003,0
19,0.35555744799999994,0.11710944599999999,0.043454814,0.22286557699999998,0.008004087,0.053928247,0.040190736,0.007180972,0.014617393000000001,0.002724796,0.134366485,1
18,0.189433792,0.13586741300000002,0.040188925,0.067170089,0.22883081600000002,0.027292267999999998,0.029639686000000002,0.016658182,0.021098477999999997,0.055800667000000005,0.188019684,1
1,0.000142891,0.756168135,0.00011907600000000001,0.000142891,0.000500119,0.000416766,0.00034532,0.21708740199999998,0.00034532,7.140000000000001e-05,0.024660632999999998,0
38,0.440131734,0.125550291,0.062640723,0.062472695999999994,0.031454784,0.014450381000000002,0.014047115,0.026951642,0.04805592,0.004771986,0.169472729,0
28,0.198382859,0.096711361,0.027541221,0.01775684,0.029647581,0.23083892,0.011800145,0.166175938,0.026318174,0.008040406,0.18678655600000002,1
24,0.400668216,0.23323649,0.04201045900000001,0.026002324,0.042475305,0.022777455,0.015572342,0.034718187000000005,0.011679256,0.011824521000000001,0.159035445,1
23,0.00032960199999999997,0.458213029,3.96e-05,0.00023731400000000003,0.016836082,0.019248771,0.015135335,0.220688473,0.0029400520000000003,0.00027686599999999996,0.266054925,0
6,0.000431474,0.10597264699999999,0.131298868,0.334836955,0.003660992,0.091367904,0.0018827960000000002,0.016788264,0.002222745,0.078083732,0.233453623,0
3,0.000181179,0.029942867999999997,0.492927975,0.07614354200000001,0.001171625,0.0030921240000000003,0.001062917,0.033651001,0.000374437,0.265246222,0.096206109,0
32,0.424927536,0.171304348,0.050086957,0.034376812,0.029072464,0.025246377,0.05626087,0.02457971,0.020231884,0.030753622999999997,0.13315942,1
8,0.33801852200000004,0.139432298,0.03074141,0.046358705,0.009863554,0.11770508,0.093868157,0.00797304,0.010877308,0.011699271,0.193462655,1
27,0.264369645,0.163921381,0.050157821,0.056921567,0.009177475,0.056629797999999995,0.037691308,0.015702501,0.014057983000000001,0.132649001,0.19872151899999999,1
21,0.524303006,0.19488644100000002,0.054100367,0.025078199,0.029076567,0.013926289,0.017326261000000003,0.025676595,0.010961512,0.015313476999999999,0.089351285,1
21,0.000322482,0.413647431,0.012883148999999998,0.000161241,0.014382688999999999,0.02554056,0.00851352,0.01986488,0.442041955,0.000145117,0.062496977,0
0,0.551264723,0.09236017199999999,0.050878547999999996,0.049012035999999995,0.016895154,0.034047757000000005,0.023878484,0.015028641,0.029671107999999998,0.004762824000000001,0.132200554,1
17,0.49082999200000005,0.23148227100000002,0.061332423,0.024680827000000002,0.026642782,0.014302368999999999,0.02277574,0.025107339,0.009070488,0.008501805999999999,0.08527396300000001,1
34,0.311611257,0.114352392,0.044894487999999996,0.031010818,0.30777446,0.01182683,0.032672112,0.023890987000000002,0.01696893,0.00955244,0.09544528599999999,1
4,0.210625802,0.154953982,0.038907266,0.07011859,0.01053129,0.115956705,0.030491235,0.08220257,0.048628457,0.007358401,0.230225703,1
29,0.019687667,0.275358901,0.019687667,0.019687667,0.001347047,0.012722113,0.000112254,0.04200168,0.48302867899999996,0.019687667,0.106678656,0
7,0.013481024,0.152510979,0.088442384,0.006513579,0.041326268,0.134871568,0.05932141,0.011199431000000001,0.103567135,0.084848262,0.303917961,0
20,0.0005114669999999999,0.006067861999999999,0.04578795,0.22201169399999998,0.117358504,0.127773838,0.094458716,0.0005114669999999999,0.011229033000000001,0.075022958,0.29926650899999996,0
41,0.43194056299999994,0.187171972,0.057017245,0.029820735,0.018948947,0.017074501000000002,0.041442301,0.033467385,0.011587486000000001,0.028661986,0.14286688,1
25,0.44742131799999996,0.22785472399999998,0.061513892,0.031527935,0.017457389,0.017650136,0.02103698,0.026846931,0.014318363,0.013547375,0.12082495800000001,1
6,0.523710428,0.21603412800000002,0.05374190400000001,0.022786982999999997,0.01209583,0.022214707,0.026324688,0.022995084,0.009598627,0.006711235,0.083786385,1
35,0.007801214,0.004093229,0.12915342400000002,0.002889338,0.066791871,0.128671867,0.106279495,0.000577868,0.001492825,0.000433401,0.5518154679999999,0
28,0.042480182000000005,0.160017374,0.00021717900000000002,2.17e-05,0.00308394,0.011249863999999998,0.005038549,0.032555109,0.009078076,0.000542947,0.735715061,0
40,0.157908018,0.359576079,0.096072885,0.06925906700000001,0.009323081,0.034941631,0.023360824,0.018579757,0.027384889,0.010850366,0.192743403,0
