d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0.551264723,0.092360172,0.050878548,0.049012036,0.016895154,0.034047757,0.023878484,0.015028641,0.029671108,0.004762824,0.132200554
0.454742857,0.212828571,0.059285714,0.030142857,0.0632,0.017685714,0.031971429,0.021171429,0.016771429,0.0058,0.0864
0.216172219,0.093996464,0.04139886,0.120856606,0.011142609,0.019225911,0.009626989,0.018468102,0.014510651,0.107833506,0.346768082
0.480576132,0.219067215,0.055967078,0.023484225,0.015089163,0.012400549,0.022441701,0.022386831,0.011742112,0.006364883,0.13048011
0.210625802,0.154953982,0.038907266,0.07011859,0.01053129,0.115956705,0.030491235,0.08220257,0.048628457,0.007358401,0.230225703
0.350616333,0.26490755,0.039214176,0.027812018,0.062846687,0.024749615,0.012865948,0.017122496,0.061228814,0.005200308,0.133436055
0.523710428,0.216034128,0.053741904,0.022786983,0.01209583,0.022214707,0.026324688,0.022995084,0.009598627,0.006711235,0.083786385
0.476735652,0.240804345,0.058124174,0.022691913,0.011624835,0.018552767,0.035872597,0.021165419,0.011654191,0.008924116,0.093849993
0.338018522,0.139432298,0.03074141,0.046358705,0.009863554,0.11770508,0.093868157,0.00797304,0.010877308,0.011699271,0.193462655
0.419289473,0.181651796,0.055822466,0.031310259,0.015132203,0.017191228,0.043468314,0.023499036,0.024773671,0.010654639,0.177206916
0.163003663,0.201548452,0.026848152,0.132034632,0.018897769,0.132700633,0.043623044,0.011072261,0.084665335,0.013195138,0.172410922
0.476625602,0.198797966,0.05811645,0.028500721,0.056593511,0.013189742,0.029996465,0.023659949,0.011313263,0.007723478,0.095482853
0.365456265,0.200652497,0.093318662,0.01882203,0.008687091,0.164379066,0.019459084,0.019864481,0.009536495,0.007258547,0.092565781
0.412008044,0.175964761,0.052034856,0.034243034,0.14151106,0.01365508,0.027118644,0.03274921,0.012161256,0.007698937,0.090855118
0.381813294,0.131415642,0.036247956,0.051728387,0.008804355,0.110513699,0.028205301,0.01669019,0.012388825,0.061540874,0.160651477
0.464401447,0.220418436,0.058266478,0.052823659,0.011074406,0.015164386,0.022620733,0.021047664,0.013150857,0.007361963,0.11366997
0.484829956,0.229909154,0.054827626,0.023555788,0.021663173,0.013801537,0.021575821,0.029641276,0.011006289,0.008502213,0.100687165
