d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,d5__prevotella,d5__ezakiella,d5__shuttleworthia,d4__prevotellaceaeother,d5__corynebacterium,d5__aerococcus,d5__porphyromonas,d5__atopobium,d5__parvimonas,d5__megasphaera,d5__gemella,d5__peptostreptococcus,d5__dialister,d5__mycoplasma,d5__fusobacterium,d5__ureaplasma,d5__campylobacter,d4__bifidobacteriaceaeother,d5__escherichiashigella,d4__familyxiother,d5__granulicatella,d5__fastidiosipila,d4__corynebacteriaceaeother,d5__prevotella6,d5__brevibacterium,d5__facklamia,d5__acinetobacter,d5__ralstonia,d5__chlamydia,d5__neisseria,d5__treponema2
0.551264723,0.092360172,0.050878548,0.049012036,0.016895154,0.034047757,0.023878484,0.015028641,0.029671108,0.004762824,0.014771191,0.020531634,0.001255069,0.002928493,0.003379031,0.001609062,0.001222887,0.007948767,0.000579262,0.017667503,0.001866512,0.003733024,0.003507756,0.00077235,0.002767587,0.002510137,0.00077235,0.002928493,0.000482719,0.016895154,0.004215743,0.002638862,0.000643625,0.000740169,0.0010298,0.004087018,0.000547081,0.001963056,0,9.65E-05,
0.454742857,0.212828571,0.059285714,0.030142857,0.0632,0.017685714,0.031971429,0.021171429,0.016771429,0.0058,0.005828571,0.008685714,0.000485714,0.001857143,0.010457143,0.000542857,0.0024,0.0022,0.004771429,0.001857143,0.001771429,0.0002,0.004428571,0.003371429,0.002285714,0.001228571,0.000742857,0.002142857,0.001628571,0.000742857,0.000885714,0.002028571,0.001142857,0.001085714,0.001171429,0.001057143,0.0018,0.000257143,2.86E-05,0.000228571,0
0.216172219,0.093996464,0.04139886,0.120856606,0.011142609,0.019225911,0.009626989,0.018468102,0.014510651,0.107833506,0.15995397,0.007381627,0.001936625,0.003620646,0.007016756,0.000140335,0.00103848,0.030536922,0.001347217,0.003368043,0.000729743,8.42E-05,0.004855595,0.000982346,0.000673609,0.002778635,0.091358163,0.005950209,0.00075781,0.001066547,0.002806702,0.000813944,0.000982346,0.000785877,0.003732914,0.000505206,0.000505206,0.001291083,0,2.81E-05,0
0.480576132,0.219067215,0.055967078,0.023484225,0.015089163,0.012400549,0.022441701,0.022386831,0.011742112,0.006364883,0.010672154,0.004444444,0.033497942,0.001591221,0.013744856,0.000274348,0.003676269,0.004663923,0.004663923,0.001015089,0.002496571,0.000109739,0.003072702,0.002496571,0.002798354,0.001069959,0.00175583,0.001563786,0.001344307,0.000329218,0.000823045,0.001618656,0.005624143,0.001344307,0.00085048,0.001152263,0.00175583,0.000768176,0,0.000137174,0
0.210625802,0.154953982,0.038907266,0.07011859,0.01053129,0.115956705,0.030491235,0.08220257,0.048628457,0.007358401,0.012669052,0.034541731,0.000337541,0.013704179,0.000787596,0.000360044,0.002970364,0.010868831,0.000517563,0.002137762,0.01028376,0.075271721,0.002655325,0.000157519,0.000742591,0.000157519,6.75E-05,0.000967619,0.000720088,0.011678931,0.02848849,0.002970364,0.000427552,6.75E-05,0.000270033,0.013591665,4.50E-05,0.000382547,0,2.25E-05,0
0.350616333,0.26490755,0.039214176,0.027812018,0.062846687,0.024749615,0.012865948,0.017122496,0.061228814,0.005200308,0.011671803,0.002657935,0.029506934,0.002099384,0.01009245,0.00048151,0.011845146,0.007550077,0.002580894,0.000770416,0.004275809,7.70E-05,0.005065485,0.001579353,0.007049307,0.000847458,0.000211864,0.001078582,0.000520031,0.005450693,0.001040062,0.002060863,0.007838983,0.000866718,0.00048151,0.000520031,0.000635593,0.00142527,0,3.85E-05,1.93E-05
0.523710428,0.216034128,0.053741904,0.022786983,0.01209583,0.022214707,0.026324688,0.022995084,0.009598627,0.006711235,0.007985849,0.005046432,0.001456702,0.001040502,0.011835705,7.80E-05,0.002133028,0.002185053,0.00655516,0.000806389,0.00338163,0.000260125,0.003147517,0.003719793,0.002471191,0.00163879,0.000832401,0.001586765,0.001716828,0.00010405,0.000676326,0.001274614,0.000338163,0.000988476,0.001352652,0.001144552,0.00153474,0.000624301,0,7.80E-05,5.20E-05
0.476735652,0.240804345,0.058124174,0.022691913,0.011624835,0.018552767,0.035872597,0.021165419,0.011654191,0.008924116,0.009922208,0.005107882,0.000851314,0.001056803,0.010979011,0.000176134,0.002524585,0.002612652,0.010421253,0.000998092,0.002612652,8.81E-05,0.003317188,0.004550125,0.002319096,0.00182005,0.000851314,0.001673272,0.002876853,5.87E-05,0.000792602,0.004227213,0.000792602,0.001291648,0.000880669,0.001438427,0.00135036,0.00046969,0,0.000117423,8.81E-05
0.338018522,0.139432298,0.03074141,0.046358705,0.009863554,0.11770508,0.093868157,0.00797304,0.010877308,0.011699271,0.020165489,0.005479752,0.002575484,0.048495808,0.007452463,0.009151186,0.001698723,0.002109705,8.22E-05,0.001424736,0.00065757,0,0.000602773,0.000301386,0.000602773,0.00109595,0.000273988,0.000520576,0.000602773,0.001342539,0.001232944,0.001068552,0.000465779,0.004712587,0.000465779,2.74E-05,5.48E-05,0.001287742,0,0.000136994,0
0.419289473,0.181651796,0.055822466,0.031310259,0.015132203,0.017191228,0.043468314,0.023499036,0.024773671,0.010654639,0.014086348,0.009543419,0.006013661,0.001862928,0.012092689,0.000294146,0.003170245,0.002255123,0.012615616,0.053632709,0.004281466,3.27E-05,0.005065856,0.005621466,0.002124391,0.003758538,0.000817074,0.001895611,0.005752198,0.001209269,0.000392195,0.006471223,0.001013171,0.002026342,0.001470732,0.001634147,0.001536098,0.000588293,0,0.000228781,0
