d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__staphylococcus,d5__anaerococcus,d5__streptococcus,d5__finegoldia,d5__peptoniphilus,d5__prevotella,d5__veillonella,d5__atopobium,d5__ezakiella,d4__prevotellaceaeother,d5__megasphaera,d5__fastidiosipila,d5__ralstonia,d5__corynebacterium,d5__granulicatella,d5__porphyromonas,d5__dialister,d5__shuttleworthia,d4__bifidobacteriaceaeother,d5__mycoplasma,d5__ureaplasma,d5__escherichiashigella,d5__aerococcus,d4__corynebacteriaceaeother,d5__parvimonas,d5__fusobacterium,d5__gemella,d5__prevotella6,d5__brevibacterium,d4__familyxiother,d5__campylobacter,d5__peptostreptococcus,d5__neisseria,d5__acinetobacter,d5__facklamia,d5__chlamydia,d5__treponema2
0.000105739,0.398151085,0.340432924,0.000181266,0.141674597,0.005181191,0.000453165,0.002205405,0.004365493,7.55E-05,0.000151055,1.51E-05,0.000574009,3.02E-05,1.51E-05,1.51E-05,0,0.000634432,3.02E-05,7.55E-05,4.53E-05,0,0.005981783,0,0.001253757,0,0.073533632,0.003489373,4.53E-05,0.000120844,0,1.51E-05,0,0.000241688,1.51E-05,1.51E-05,3.02E-05,9.06E-05,1.51E-05,0,0
0.000142872,0.756069103,0.00011906,0.000142872,0.217058971,0.000416711,0.000345275,0.000500054,0.000345275,0.000130966,7.14E-05,2.38E-05,0.000130966,0.000130966,1.19E-05,2.38E-05,0,0.000595302,1.19E-05,0.000107154,4.76E-05,0,1.19E-05,0,4.76E-05,0,1.19E-05,0.01331095,0,1.19E-05,0,5.95E-05,2.38E-05,3.57E-05,4.76E-05,4.76E-05,0.000107154,5.95E-05,4.76E-05,0,1.19E-05
6.01E-05,0.031639199,9.01E-05,0.000105164,0.020266514,0.006940793,0.836395595,0.000991542,0.000841308,0.000120187,7.51E-05,6.01E-05,0.000646005,6.01E-05,0,1.50E-05,0,0.000931448,0.086068837,0.000555864,0,0,0,0,3.00E-05,1.50E-05,1.50E-05,0.000255397,1.50E-05,0,3.00E-05,1.50E-05,0.001081682,0.000105164,0,1.50E-05,0,0.00353049,1.50E-05,0,0
0.000179929,0.029736343,0.489528105,0.075618358,0.0334189,0.003070796,0.000371854,0.001163544,0.001055586,0.006897296,0.263416741,0.035062256,7.20E-05,0.000299882,3.60E-05,0.00058777,0,0.000431831,0.001667346,0.000107958,0.001955234,0,0.010567857,0.000227911,0.003754528,0,0.012331166,0.001799295,0.002123168,1.20E-05,0.000347864,2.40E-05,0.00061176,0.000299882,2.40E-05,0.000479812,0,0.000131948,0.000155939,0,0
5.09E-05,0.127131704,0.00133729,0.33149509,0.004623203,0.276819033,0.076569405,0.002763733,0.00238165,0.041315893,0.091343276,0.00029293,0.000101889,0.000738694,0.00022925,0.001311818,0,0.003375065,0.006635506,7.64E-05,0.001553804,7.64E-05,2.55E-05,0,0.000687749,0,0,0.002165136,0.000356611,0.000445763,6.37E-05,0.000203778,0.002305233,0.002012303,0.000101889,0.00348969,0.001171721,0.000458499,0.00163022,0,0
5.49E-05,0.187358452,0.118070139,0.392684099,0.016416169,0.008468877,5.49E-05,0.002086336,0,0.079788621,0.11208565,0,2.75E-05,0.00053531,0,0,0,0.002443209,0.047519045,1.37E-05,0.001317686,0,0.002923615,0,0.000411777,1.37E-05,0.005353099,0.002209869,0,0,0.003115778,0.000905909,0.000549036,0.000150985,1.37E-05,0,0,4.12E-05,0.000562762,0,0
0.000424066,0.104153281,0.129044694,0.329088386,0.016500039,0.089799275,0.002184585,0.003598139,0.001850472,0.017168264,0.07674317,0.001336452,0,0.000873834,0,0,0,0.000706777,0.055398494,0.00026986,0.001773369,0,0.001632013,0,0.002223136,2.57E-05,0.003007016,0.001053741,0.00025701,0.004613329,0.00206893,0,0.000886684,0.001156545,0.000282711,0.005924079,0,6.43E-05,0,0,2.57E-05
0.013265737,0.150075442,0.087029996,0.00640956,0.011020581,0.132717726,0.101913211,0.040666305,0.058374072,0.015969582,0.083493271,0.001677832,0.044154747,0.055923713,0,0.000181061,0,0.035729374,0.080535941,0.01281912,0.001448488,0,0.000579395,0,0.000796668,0,0.0014847,0.002558996,1.21E-05,3.62E-05,9.66E-05,0.001207073,0.002281369,0.001786469,7.24E-05,0.005673245,2.41E-05,0.000277627,0.000386264,0,0
1.70E-05,0.584746629,0,0,0.01414998,0.016091132,0.153487263,0.002162512,0.000442719,8.51E-05,0,0,0,0,8.51E-05,0,0,0.002128457,0.016057077,0,0,0,0,0,0.000425691,0.010131453,0,0.00224765,0,0,0.055016347,0,6.81E-05,0.000170277,0,0,0,0.04040662,0.000647051,0,0
0.084189737,0.062129682,0.032839019,3.35E-05,0.01898035,0.054497372,0.057376226,0.1700867,0.091018646,0.035081846,0.001037726,0.000100425,0.006494159,0.009808188,3.35E-05,0,0.272553811,0.010712014,0,0.000736451,0.006828909,0,3.35E-05,0.000100425,0.008034011,0.017674823,3.35E-05,0.000569076,0,0,3.35E-05,0.001606802,0.000401701,0.000937301,0.000234325,0.004820406,3.35E-05,0.000368225,0.000535601,0,0
