d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0.000105747,0.398181159,0.340458638,0.00018128,0.002205571,0.005181582,0.004365823,0.141685298,0.0004532,0.000151067,0.107030636
0.000142891,0.756168135,0.000119076,0.000142891,0.000500119,0.000416766,0.00034532,0.217087402,0.00034532,7.14E-05,0.024660633
6.01E-05,0.031643002,9.02E-05,0.000105176,0.000991661,0.006941627,0.000841409,0.02026895,0.836496131,7.51E-05,0.102486665
0.000181179,0.029942868,0.492927975,0.076143542,0.001171625,0.003092124,0.001062917,0.033651001,0.000374437,0.265246222,0.096206109
5.31E-05,0.132610631,0.001394922,0.345781356,0.00288284,0.288748954,0.002484291,0.004822446,0.079869276,0.095279848,0.046072297
5.89E-05,0.200948625,0.126634438,0.421167709,0.00223767,0.009083172,0.013040459,0.017606927,5.89E-05,0.120215859,0.08894737
0.000431474,0.105972647,0.131298868,0.334836955,0.003660992,0.091367904,0.001882796,0.016788264,0.002222745,0.078083732,0.233453623
0.013481024,0.152510979,0.088442384,0.006513579,0.041326268,0.134871568,0.05932141,0.011199431,0.103567135,0.084848262,0.303917961
1.65E-05,0.568314374,0.009394747,0.009394747,0.002101742,0.015638947,0.000430278,0.013752344,0.149174042,0.009394747,0.222387483
0.08725065,0.064388552,0.034032958,3.47E-05,0.176270598,0.056478751,0.09432784,0.019670425,0.059462272,0.001075455,0.407007806
0.34984206,0.187938137,0.079937135,0.031579319,0.003122544,0.010148269,0.00042935,0.035753133,0.057610943,0.031579319,0.212059792
0.397910852,0.14276753,0.031837232,0.019864178,0.021873324,0.038755602,0.008054765,0.146867642,0.046292172,0.004509214,0.141267489
0.276646153,0.146138511,0.087371067,0.188090491,0.039293866,0.028805871,0.021756089,0.039958395,0.029037011,0.012481581,0.130420964
0.331805143,0.214475976,0.068794181,0.038110849,0.04051839,0.032988423,0.011090052,0.039212171,0.025586518,0.015981969,0.181436328
0.118532563,0.111666523,0.098652647,0.106754,0.006636215,0.037203022,0.022436726,0.048723031,0.02413169,0.01197966,0.413283921
0.098710538,0.07536683,0.171159404,0.08628835,0.012644509,0.06241663,0.093041352,0.014645398,0.030430191,0.007920187,0.347376612
0.219631857,0.10409827,0.106090228,0.038105426,0.013242834,0.103581836,0.008336715,0.041720462,0.157069608,0.005717658,0.202405105
0.106063303,0.060917862,0.351408125,0.02908819,0.011215153,0.099654644,0.008224445,0.18453377,0.020863745,0.003239933,0.124790828
0.233893557,0.091076431,0.274709884,0.107282913,0.017366947,0.016966787,0.008003201,0.035934374,0.015166066,0.004801921,0.194797919
0.000140259,0.413047205,0.000202596,9.35E-05,0.061854224,0.261115527,0.092789128,0.03383359,0.023719357,0.047532221,0.065672386
0.000511467,0.006067862,0.04578795,0.222011694,0.117358504,0.127773838,0.094458716,0.000511467,0.011229033,0.075022958,0.299266509
0.000322482,0.413647431,0.012883149,0.000161241,0.014382689,0.02554056,0.00851352,0.01986488,0.442041955,0.000145117,0.062496977
0.097719304,0.518589232,0.000242996,0.000173569,0.000555421,0.028638872,0.006873329,0.210365536,0.019405006,0.000104141,0.117332593
0.000329602,0.458213029,3.96E-05,0.000237314,0.016836082,0.019248771,0.015135335,0.220688473,0.002940052,0.000276866,0.266054925
1.34E-05,0.026224853,0.421298653,0.043341995,0.013835686,0.015483111,0.001071496,0.001808149,0.154978436,0.274329646,0.047614583
0.012985507,0.659129298,0.012985507,0.012985507,0.006136095,0.049965344,0.001064425,0.180513894,3.13E-05,0.012985507,0.051217609
4.37E-05,0.644855127,1.46E-05,1.46E-05,0.017981803,0.099751687,0.008386655,0.122174341,4.37E-05,0.002949053,0.103784853
0.320650284,0.126043069,0.014615432,1.58E-05,0.088744932,0.18397993,0.052994305,0.084812995,0.004879392,1.58E-05,0.123248078
0.042480182,0.160017374,0.000217179,2.17E-05,0.00308394,0.011249864,0.005038549,0.032555109,0.009078076,0.000542947,0.735715061
0.019687667,0.275358901,0.019687667,0.019687667,0.001347047,0.012722113,0.000112254,0.04200168,0.483028679,0.019687667,0.106678656
0.364315853,0.030813743,0.0626522,0.098553345,0.012561784,0.046534057,0.011127185,0.000783605,0.000952381,0.265473177,0.10623267
0.268186441,0.190963163,0.033443152,0.037942776,0.01044753,0.099312342,0.015842657,0.14762526,0.009684695,0.041358953,0.145193031
0.068330232,0.06464558,0.119732954,0.058297764,0.007186896,0.024515705,0.131224691,0.086972383,0.015650651,0.007515231,0.415927912
