,count,feature_name,max,mean,median,min,stdev
2,527594,d5__corynebacterium1,63503,12269.627906976744,7368.0,85,13575.58195546986
1,271074,d5__lactobacillus,43769,6304.046511627907,2227.0,0,9703.925896631166
3,211671,d5__gardnerella,40810,4922.581395348837,2682.0,0,8186.758269513956
4,192423,d5__sneathia,28609,4474.953488372093,1033.0,0,7411.633333108959
7,178918,d5__streptococcus,55673,4160.883720930233,876.0,1,9972.949065225685
6,169451,d5__anaerococcus,21735,3940.720930232558,1596.0,35,4963.101019502786
5,151083,d5__staphylococcus,18231,3513.5581395348836,1399.0,12,4682.757517401195
11,112399,d5__veillonella,22021,2613.9302325581393,212.0,0,5695.943010663897
8,78739,d5__finegoldia,18289,1831.139534883721,702.0,16,3267.4098128071337
9,59329,d5__peptoniphilus,8126,1379.7441860465117,433.0,0,2005.251083827555
10,43182,d5__prevotella,9985,1004.2325581395348,422.0,0,1790.9162304890242
19,25211,d5__granulicatella,6672,586.3023255813954,66.0,0,1506.798285468132
27,23303,d5__escherichiashigella,17929,541.9302325581396,5.0,0,2731.9202682654313
42,22204,d5__acinetobacter,18262,516.3720930232558,18.0,0,2793.8809585648473
32,19446,d5__prevotella7,9759,452.2325581395349,3.0,0,1917.2819406303047
16,18901,d5__fastidiosipila,7124,439.5581395348837,68.0,0,1339.0284911497372
17,18831,d5__ralstonia,8142,437.93023255813955,0.0,0,1326.928845749944
12,18694,d5__atopobium,4827,434.74418604651163,113.0,0,911.8039443877766
13,16347,d5__ezakiella,3658,380.16279069767444,159.0,0,678.0671736014333
14,15403,d4__prevotellaceaeother,4633,358.2093023255814,79.0,0,809.2048289212697
28,14297,d5__aerococcus,4868,332.48837209302326,57.0,0,825.4862743542659
18,13735,d5__corynebacterium,2960,319.4186046511628,137.0,1,519.9013291256122
23,13070,d5__eremococcus,4383,303.95348837209303,97.0,1,686.2354154400721
35,9640,d5__brevibacterium,3319,224.1860465116279,51.0,0,620.6907157051482
54,9497,d5__chryseobacterium,8737,220.86046511627907,3.0,0,1330.6732377938358
20,8963,d5__porphyromonas,2400,208.4418604651163,64.0,0,419.21362336582513
29,8953,d4__corynebacteriaceaeother,1118,208.2093023255814,90.0,0,291.4425989501793
15,6290,d5__megasphaera,4080,146.27906976744185,3.0,0,619.4268981651851
47,6160,d5__kocuria,4884,143.25581395348837,7.0,0,743.1381366502223
33,5437,d5__gemella,3231,126.44186046511628,12.0,0,491.0685289353636
26,5420,d5__ureaplasma,1144,126.04651162790698,55.0,0,228.79549544853703
21,5034,d5__dialister,886,117.06976744186046,74.0,0,161.84036746257348
41,4983,d5__micrococcus,1510,115.88372093023256,27.0,0,253.85412096060637
34,4798,d5__prevotella6,1427,111.5813953488372,20.0,0,252.91794571495578
44,4717,d5__rothia,2629,109.69767441860465,2.0,0,409.1305842814284
31,4526,d5__fusobacterium,1795,105.25581395348837,8.0,0,294.36227218653835
24,4211,d4__bifidobacteriaceaeother,881,97.93023255813954,46.0,0,177.98119153556877
39,4118,d5__peptostreptococcus,1678,95.76744186046511,10.0,0,272.41039043966475
50,3956,d5__bradyrhizobium,3607,92.0,0.0,0,549.3507423270111
37,3779,d4__familyxiother,463,87.88372093023256,45.0,1,98.6074973732017
48,3653,d5__negativicoccus,986,84.95348837209302,11.0,0,211.66696139706204
46,3628,d5__dermabacter,896,84.37209302325581,11.0,0,178.114065011831
45,3592,d5__facklamia,1458,83.53488372093024,8.0,0,252.4138088477133
22,3559,d5__shuttleworthia,1051,82.76744186046511,0.0,0,184.2716469430651
49,3364,d5__jeotgalicoccus,2690,78.23255813953489,3.0,0,409.96810777293297
52,3184,d5__johnsonella,2973,74.04651162790698,0.0,0,453.2642955215915
51,3051,d5__brachybacterium,2323,70.95348837209302,5.0,0,352.83416808199416
30,2888,d5__parvimonas,686,67.16279069767442,15.0,0,154.39481397541422
56,2777,d5__varibaculum,2261,64.5813953488372,1.0,0,345.71273738247305
43,2702,d5__dnf00809,518,62.83720930232558,6.0,0,133.48781471632856
53,2552,d5__actinomyces,1207,59.348837209302324,4.0,0,196.6931237717575
36,2551,d5__hydrotalea,552,59.325581395348834,0.0,0,133.2276463748515
55,2542,d5__paracoccus,2029,59.116279069767444,4.0,0,308.2360883434216
38,2522,d5__campylobacter,1586,58.651162790697676,6.0,0,243.50954647571047
25,2197,d5__mycoplasma,498,51.093023255813954,8.0,0,101.58665406193595
40,2026,d5__neisseria,1524,47.116279069767444,2.0,0,232.30298455561024
0,903,Unnamed: 0,42,21.0,21.0,0,12.556538801224908
58,47,d5__treponema2,9,1.0930232558139534,0.0,0,2.1136061881282213
57,45,d5__chlamydia,22,1.0465116279069768,0.0,0,3.60524411941492
